Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActive Cases,Location Level,CityorRegency,Province,Country,Continent,Island,TimeZone,Special Status,Total Regencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeaths perMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
1,ID-AC,Aceh,7,0,10,-3,8753,358,7152,1243,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,1.33,1668.11,0.00,68.23,4.09%,81.71%,1.75,1.00
1,ID-BA,Bali,101,1,0,100,17694,519,12766,4409,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,23.96,4196.70,0.24,123.10,2.93%,72.15%,0.56,0.25
1,ID-BT,Banten,287,1,16,270,18457,405,10297,7755,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,26.77,1721.35,0.09,37.77,2.19%,55.79%,1.07,
1,ID-BE,Bengkulu,68,5,98,-35,3671,117,2657,897,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,34.01,1835.92,2.50,58.51,3.19%,72.38%,0.94,2.50
1,ID-JK,DKI Jakarta,1956,20,1643,293,185691,3290,166354,16047,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,180.34,17120.46,1.84,303.33,1.77%,89.59%,0.97,0.95
1,ID-YO,Daerah Istimewa Yogyakarta,233,13,112,108,12388,272,8388,3728,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,64.17,3411.72,3.58,74.91,2.20%,67.71%,0.91,
1,ID-GO,Gorontalo,25,0,16,9,3866,104,3324,438,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,21.17,3274.46,0.00,88.09,2.69%,85.98%,0.17,0.00
1,ID-JA,Jambi,36,0,34,2,3263,55,2352,856,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,10.31,934.06,0.00,15.74,1.69%,72.08%,1.03,0.00
1,ID-JB,Jawa Barat,1504,3,1207,294,85083,1175,72107,11801,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,33.30,1883.98,0.07,26.02,1.38%,84.75%,1.47,0.27
1,ID-JT,Jawa Tengah,897,4,570,323,82613,3366,54995,24252,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,24.67,2271.83,0.11,92.56,4.07%,66.57%,0.96,0.22
